Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
SSBS/M/2022/1101,S/1101,26/07/2022,"DP road, Botanical Garden, Aundh",Genepath,33.2,38.8,34.2,Positive
SSBS/M/2022/1124,S/1124,2/8/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/M/2022/1127,S/1127,2/8/2022,"DP road, Botanical Garden, Aundh",Genepath,28.57,35.91,32.16,Positive
SSBS/M/2022/1150,S/1150,9/8/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,33.1,36.15,34.64,Positive
SSBS/M/2022/1153,S/1153,9/8/2022,"DP road, Botanical Garden, Aundh",Genepath,28.87,36.59,32.34,Positive
SSBS/M/2022/1165,S/1165,16/08/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,34.61,25.42,Positive
SSBS/M/2022/1168,S/1168,16/08/2022,"DP road, Botanical Garden, Aundh",Genepath,38.26,32.43,32.89,Positive
SSBS/M/2022/1187,S/1187,23/08/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/M/2022/1190,S/1190,23/08/2022,"DP road, Botanical Garden, Aundh",Genepath,28.34,32.77,33.98,Positive
SSBS/M/2022/1210,S/1210,30/08/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,27.29,0,0,Negative
SSBS/M/2022/1229,S/1229,6/9/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/M/2022/1231,S/1231,6/9/2022,"DP road, Botanical Garden, Aundh",Genepath,33.46,0,34.44,Positive
SSBS/M/2022/1248,S/1248,13/09/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,38.6155,0,0,Negative
SSBS/M/2022/1251,S/1251,13/09/2022,"DP road, Botanical Garden, Aundh",Genepath,30.043,36.6731,33.4034,Positive
SSBS/M/2022/1270,S/1270,20/09/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,38.9858,0,Negative
SSBS/M/2022/1273,S/1273,20/09/2022,"DP road, Botanical Garden, Aundh",Genepath,31.8111,0,35.2529,Positive
SSBS/M/2022/1292,S/1292,27/09/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,38.73,0,Negative
SSBS/M/2022/1295,S/1295,27/09/2022,"DP road, Botanical Garden, Aundh",Genepath,0,37.95,23.67,Negative
